"","Pharmaceutical","DTXSID","TOXVAL_TYPE","TOXVAL_NUMERIC","TOXVAL_UNITS","SPECIES_COMMON","SPECIES_SUPERCATEGORY","Molar_Mass"
"233","erythromycin","DTXSID4022991","NOEC",73393.8,"ug/L","Rainbow Trout","Fish",733.937
"234","erythromycin","DTXSID4022991","NOEC",1e+05,"ug/L","Japanese Medaka","Fish",733.937
"235","erythromycin","DTXSID4022991","NOEC",366969,"ug/L","Zebra Danio","Fish",733.937
"236","erythromycin","DTXSID4022991","NOEC",1e+06,"ug/L","Japanese Medaka","Fish",733.937
"237","erythromycin","DTXSID4022991","NOEC",1223250,"ug/L","Zebra Danio","Fish",733.937
"238","erythromycin","DTXSID4022991","NOEC",1e+05,"ug/L","Japanese Medaka","Fish",733.937
"239","erythromycin","DTXSID4022991","NOEC",1e+06,"ug/L","Japanese Medaka","Fish",733.937
"240","irbesartan","DTXSID0023169","NOEC",428.537,"ug/L","Zebra Danio","Fish",428.54
"241","diclofenac","DTXSID6022923","NOEC",2e+06,"ug/L","Japanese Medaka","Fish",296.15
"242","diclofenac","DTXSID6022923","NOEC",1.06,"ug/L","Rainbow Trout","Fish",296.15
"243","diclofenac","DTXSID6022923","NOEC",3.82,"ug/L","Threespine Stickleback","Fish",296.15
"244","diclofenac","DTXSID6022923","NOEC",4.95,"ug/L","Rainbow Trout","Fish",296.15
"245","diclofenac","DTXSID6022923","NOEC",1e+07,"ug/L","Japanese Medaka","Fish",296.15
"246","diclofenac","DTXSID6022923","NOEC",6.63,"ug/L","Brown Trout","Fish",296.15
"247","diclofenac","DTXSID6022923","NOEC",10.1,"ug/L","Japanese Medaka","Fish",296.15
"248","diclofenac","DTXSID6022923","NOEC",2.4e+07,"ug/L","Japanese Medaka","Fish",296.15
"249","diclofenac","DTXSID6022923","NOEC",20.13,"ug/L","Rainbow Trout","Fish",296.15
"250","diclofenac","DTXSID6022923","NOEC",63.05,"ug/L","Brown Trout","Fish",296.15
